,Symbol,Year,Month,Day,Open,High,Low,Close,Volume,Date,Good_Time_Prices_Low,Good_Time_Prices_will_increase,Good_Time_Interest_rates_low,Good_Time_Rising_interest_rates,Good_Time_Times_good,Good_Time_Fuel_Efficiency,Bad_Time_Prices_High,Bad_Time_Interest_rates_high,Bad_Time_Cannot_Afford,Bad_Time_Uncertain_Future,Bad_Time_Gas_Prices,Bad_Time_Poor_Selection,Relative_prices,Relative_rates
4137,F,2009,3,26,2.2854,2.3167,2.2141,2.3167,49190107,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4138,F,2009,3,27,2.3326,2.3483,2.2224,2.2381,40681556,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4139,F,2009,3,30,2.1514,2.2692,1.8754,2.175,81081056,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4140,F,2009,3,31,2.2381,2.2614,2.0726,2.0726,58115416,2009-03-31,57.0,0.0,11.0,0.0,2.0,1.0,7.0,7.0,13.0,12.0,2.0,3.0,50.0,4.0
4141,TM,2009,4,1,61.483000000000004,63.536,61.233999999999995,63.091,2672140,2009-04-30,57.0,1.0,15.0,0.0,1.0,1.0,4.0,5.0,14.0,9.0,3.0,3.0,53.0,10.0
4142,TM,2009,4,2,65.033,67.58800000000001,64.633,66.649,2232617,2009-04-30,57.0,1.0,15.0,0.0,1.0,1.0,4.0,5.0,14.0,9.0,3.0,3.0,53.0,10.0
4143,TM,2009,4,3,68.5,70.003,68.42399999999999,69.79,1995641,2009-04-30,57.0,1.0,15.0,0.0,1.0,1.0,4.0,5.0,14.0,9.0,3.0,3.0,53.0,10.0
4144,TM,2009,4,6,68.926,69.102,67.672,68.453,1293732,2009-04-30,57.0,1.0,15.0,0.0,1.0,1.0,4.0,5.0,14.0,9.0,3.0,3.0,53.0,10.0
4145,TM,2009,4,7,68.42399999999999,68.6,67.385,68.043,914199,2009-04-30,57.0,1.0,15.0,0.0,1.0,1.0,4.0,5.0,14.0,9.0,3.0,3.0,53.0,10.0
4146,TM,2009,4,8,70.245,70.813,69.60600000000001,70.319,1402121,2009-04-30,57.0,1.0,15.0,0.0,1.0,1.0,4.0,5.0,14.0,9.0,3.0,3.0,53.0,10.0
4147,TM,2009,4,9,72.708,73.703,72.661,73.581,1015285,2009-04-30,57.0,1.0,15.0,0.0,1.0,1.0,4.0,5.0,14.0,9.0,3.0,3.0,53.0,10.0
4148,TM,2009,4,13,72.03,73.358,71.789,73.135,841325,2009-04-30,57.0,1.0,15.0,0.0,1.0,1.0,4.0,5.0,14.0,9.0,3.0,3.0,53.0,10.0
4149,TM,2009,4,14,71.305,71.361,70.117,70.47800000000002,941942,2009-04-30,57.0,1.0,15.0,0.0,1.0,1.0,4.0,5.0,14.0,9.0,3.0,3.0,53.0,10.0
4150,TM,2009,4,15,70.497,71.714,70.47800000000002,71.649,593369,2009-04-30,57.0,1.0,15.0,0.0,1.0,1.0,4.0,5.0,14.0,9.0,3.0,3.0,53.0,10.0
4151,TM,2009,4,16,70.469,71.696,70.05199999999999,71.259,1110573,2009-04-30,57.0,1.0,15.0,0.0,1.0,1.0,4.0,5.0,14.0,9.0,3.0,3.0,53.0,10.0
